epoch,train_loss,val_loss,val_accuracy
1,1.215,1.272,0.498
2,1.18,1.244,0.516
3,1.145,1.216,0.534
4,1.11,1.188,0.552
5,1.075,1.16,0.57
6,1.04,1.132,0.588
7,1.005,1.104,0.606
8,0.97,1.076,0.624
9,0.935,1.048,0.642
10,0.9,1.02,0.66
11,0.865,0.992,0.678
12,0.83,0.964,0.696
13,0.795,0.986,0.686
14,0.76,1.008,0.676
15,0.725,1.03,0.666
16,0.69,1.052,0.656
17,0.655,1.074,0.646
18,0.62,1.096,0.636
19,0.585,1.118,0.626
20,0.55,1.14,0.616
21,0.515,1.162,0.606
22,0.48,1.184,0.596
23,0.445,1.206,0.586
24,0.41,1.228,0.576
